Cpd,smiles
12a,C1C(C1)(NCc1cc(c(cc1F)F)[C@@]1(C[C@H](SC(=N1)N)C)C)C(F)(F)F
16b,S1C(=N[C@@]2([C@H](C1)C[C@@H](OC2)CF)c1cc(c(cc1F)F)CNCC(F)(F)F)N
6a,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNc1ccc(cn1)C
6b,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNCC
6c,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC(C)C
6d,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CN(C)C
6e,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CN1C[C@@H](CC1)OC
6f,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNCCOC
6g,N=1[C@](CCSC1N)(C)c1c(cc(c(c1)CNCCCOC)F)F
6h,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CN[C@@H](COC)C
6i,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC12CC(C2)C1
6j,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CN(CC(F)(F)F)C
6k,S1C(=N[C@@](CC1)(c1c(cc(c(c1)CNCC(F)(F)F)F)F)C)N
6l,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNCC(F)F
6m,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC(C)(C(F)(F)F)C
6n,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CN[C@H](C)C(F)(F)F
6o,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNCCC(F)(F)F
6p,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC1CC1
6q,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNCC1CC1
6r,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC1(C(F)F)CC1
6s,c1(c(cc(c(c1)[C@@]1(CCSC(=N1)N)C)F)F)CNC1(C#N)CC1
6t,N=1[C@@](CCSC1N)(C)c1c(cc(c(c1)CNC1(COC1)C(F)(F)F)F)F
6u,S1C(=NC(CC1)(C)c1c(cc(c(c1)CNC1(CC1)C(F)(F)F)F)F)N
